day,ETH Vault_dai_ceiling,stETH Vault_dai_ceiling,BTC Vault_dai_ceiling,Altcoin Vault_dai_ceiling,Stablecoin Vault_dai_ceiling,LP Vault_dai_ceiling,PSM Vault_dai_ceiling,PSM Vault_collateral_usd_7d_ma,BTC Vault_collateral_usd_7d_ma,ETH Vault_collateral_usd_7d_ma,stETH Vault_collateral_usd_7d_ma,Altcoin Vault_collateral_usd_7d_ma,LP Vault_collateral_usd_7d_ma,Stablecoin Vault_collateral_usd_7d_ma,RWA Vault_collateral_usd_7d_ma,BTC Vault_market_price,ETH Vault_market_price,stETH Vault_market_price,Stablecoin Vault_market_price,Altcoin Vault_market_price,LP Vault_market_price,PSM Vault_market_price,effective_funds_rate,M1V,WM2NS,fed_reverse_repo,ETH Vault_liquidation_ratio,BTC Vault_liquidation_ratio,stETH Vault_liquidation_ratio,Altcoin Vault_liquidation_ratio,Stablecoin Vault_liquidation_ratio,LP Vault_liquidation_ratio,PSM Vault_liquidation_ratio,BTC Vault_collateral_usd % of Total,ETH Vault_collateral_usd % of Total,stETH Vault_collateral_usd % of Total,where_is_dai_Bridge,Stablecoin Vault_collateral_usd % of Total,Altcoin Vault_collateral_usd % of Total,LP Vault_collateral_usd % of Total,RWA Vault_collateral_usd % of Total,PSM Vault_collateral_usd % of Total,PSM Vault_collateral_usd % of Total_7d_ma,PSM Vault_collateral_usd % of Total_30d_ma,ETH Vault_collateral_usd % of Total_7d_ma,ETH Vault_collateral_usd % of Total_30d_ma,stETH Vault_collateral_usd % of Total_7d_ma,stETH Vault_collateral_usd % of Total_30d_ma,BTC Vault_collateral_usd % of Total_7d_ma,BTC Vault_collateral_usd % of Total_30d_ma,Altcoin Vault_collateral_usd % of Total_7d_ma,Altcoin Vault_collateral_usd % of Total_30d_ma,Stablecoin Vault_collateral_usd % of Total_7d_ma,Stablecoin Vault_collateral_usd % of Total_30d_ma,LP Vault_collateral_usd % of Total_7d_ma,LP Vault_collateral_usd % of Total_30d_ma,PSM Vault_collateral_usd % of Total_7d_ma,PSM Vault_collateral_usd % of Total_30d_ma,RWA Vault_collateral_usd % of Total_7d_ma,RWA Vault_collateral_usd % of Total_30d_ma,Vaults Total USD Value,BTC Vault_prev_dai_ceiling,ETH Vault_prev_dai_ceiling,stETH Vault_prev_dai_ceiling,Altcoin Vault_prev_dai_ceiling,LP Vault_prev_dai_ceiling,Stablecoin Vault_prev_dai_ceiling,PSM Vault_prev_dai_ceiling,RWA Vault_collateral_usd,RWA Vault_collateral_usd % of Total_7d_ma,RWA Vault_collateral_usd % of Total_30d_ma,where_is_dai_Bridge,dai_market_Volume_30d_ma,dai_market_Volume_7d_ma,eth_market_Close_7d_ma,eth_market_Volume_30d_ma,btc_market_Close_7d_ma,btc_market_Volume_30d_ma,btc_market_Volume_30d_ma,eth_market_Volume_30d_ma,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd
2024-01-05 00:00:00+00:00,1101596803.5086622,704093482.4245039,123857161.73440915,1000000.0,0.0,0.0,776841360.354989,264553265.07068014,376715262.87163097,2924749932.905459,2031356413.5872767,2003069.2961074512,163885843.4830661,99270.32454693256,303771975.9269241,43483.30525640676,2235.06,2581.2086628152897,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5805178767804118,1.5523924350784661,1.6256516363172222,1.75,0.0,0.0,1.0,6.380105040922366,47.319467057423445,32.781452047064505,292944007.3749629,0.001663628477089047,0.03357633206186408,2.747730042919892,5.09298204332567,5.643023807805173,4.352253710075073,5.170901560362371,48.209941526480826,46.6401938590417,33.48223727692521,34.463097827814735,6.209500555833648,6.0168731129925845,0.03302940326220671,0.03342239893602132,0.0016369069009701878,0.0016219255847611442,2.7023805965192667,2.7109904735060373,4.352253710075073,5.170901560362371,5.009020024002795,4.9628988417617945,5964520851.296067,123468843.74550207,1101596803.5086622,704093482.4245039,1000000.0,0.0,0.0,776841360.354989,303771975.9269241,5.009020024002795,4.9628988417617945,292944007.3749629,267394552.9,285724216.14285713,2290.021170479911,11337090550.233334,43534.025669642855,24256634841.666668,24256634841.666668,11337090550.233334,2822379479.362195,1955256542.704784,380542695.500406,2002667.3269302899,99227.46740407542,163888931.34728333,336579331.6601409
2024-01-06 00:00:00+00:00,1091449505.4786036,704093482.4245039,124281228.27492863,1000000.0,0.0,0.0,776841360.354989,288894226.02489483,379754935.338824,2907020425.7154016,2018940918.6643364,2002988.9022720188,163886790.70737275,99263.18168978971,303771975.9269241,43854.25,2244.26,2586.8137279343455,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5816012611128858,1.548416340306795,1.6256516363172222,1.75,0.0,0.0,1.0,6.4234962416341395,47.22814275904695,32.787903755703454,293012350.0357704,0.001660354895656766,0.033510262708811085,2.7423319947300118,5.0829603998628565,5.699994231418133,4.760859654751123,5.222755807282338,47.93600256623771,46.77560264039052,33.29027400452377,34.246528591107214,6.263159453454451,6.038987318603244,0.03304350796805096,0.033443701780579545,0.0016375530587750605,0.001624571457662523,2.703660393269448,2.7099772790291583,4.760859654751123,5.222755807282338,5.011362866736675,4.9710800903492895,5976280593.000886,123857161.73440915,1101596803.5086622,704093482.4245039,1000000.0,0.0,0.0,776841360.354989,303771975.9269241,5.011362866736675,4.9710800903492895,293012350.0357704,265875102.6,291094295.5714286,2282.815359933036,11043885571.5,43795.78180803572,23871859601.566666,23871859601.566666,11043885571.5,2822486330.1436763,1959497129.0039139,383886159.2809224,2002667.3269302899,99227.46740407542,163889454.7967038,340647649.0544119
2024-01-07 00:00:00+00:00,1091449505.4786036,704093482.4245039,124281228.27492863,1000000.0,0.0,0.0,817692925.492354,318468150.4582363,382498816.9046682,2889964759.358247,2007715138.6960952,2002908.5084365865,163887639.72478607,99256.03883264684,303771975.9269241,44056.43477430966,2241.120771302463,2582.694207328134,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5820947489259038,1.549142699312554,1.6256887361806263,1.75,0.0,0.0,1.0,6.452309218874435,47.14015058662576,32.72023819659625,292498249.3623392,0.0016596593202069625,0.03349622419444425,2.7411911943218246,5.0808309861599685,5.830123933907117,5.253901076425764,5.2813611338347695,47.61739589000462,46.92106844303976,33.079423118570794,34.012235141351304,6.304893482609583,6.061015618285166,0.033019431489413366,0.033469317370602145,0.001636307029070662,0.001627424078021983,2.7018149059568546,2.7093290071880514,5.253901076425764,5.2813611338347695,5.0079157879138965,4.979893914852334,5978785296.231854,124281228.27492863,1091449505.4786036,704093482.4245039,1000000.0,0.0,0.0,776841360.354989,303771975.9269241,5.0079157879138965,4.979893914852334,292498249.3623392,263193702.73333332,286085257.71428573,2274.443184988839,10842105402.033333,44035.48325892857,23702174840.766666,23702174840.766666,10842105402.033333,2818408391.894735,1956272790.1901355,385769714.8454771,2002667.3269302899,99227.46740407542,163889936.06771562,348570592.5125329
2024-01-08 00:00:00+00:00,1091449505.4786038,704093482.4245039,125124268.61390457,1000000.0,0.0,0.0,817692925.492354,327222705.6599736,387732058.2538555,2888409579.0540805,2004236349.8234944,2002828.1146011543,163888547.32683972,99248.89597550397,303771975.9269241,46883.079999999994,2343.664791926529,2691.9255029377214,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5818778025051212,1.5475807049310788,1.62444811593426,1.75,0.0,0.0,1.0,6.587872619025305,47.224508640533884,32.67456549124657,293891517.367164,0.001589829056742752,0.032086868592318255,2.625873000011542,4.867054723730139,5.986448827803502,5.386914119622142,5.3416251576526115,47.52378462115106,47.01417661789705,32.97576586138091,33.83955751460611,6.380043810114785,6.084756827929108,0.03297162766092716,0.0334410314783662,0.001633887325749239,0.0016276160547612987,2.698023983930829,2.704252195779392,5.386914119622142,5.3416251576526115,5.000862088813605,4.980563038602606,6241392241.715159,124281228.27492863,1091449505.4786038,704093482.4245039,1000000.0,0.0,0.0,817692925.492354,303771975.9269241,5.000862088813605,4.980563038602606,293891517.367164,261846152.03333333,287832894.71428573,2271.6867327008927,10949337877.766666,44435.93638392857,24548107568.9,24548107568.9,10949337877.766666,2947466818.478387,2039347795.5848022,411174970.5379226,2002667.3269302899,99227.46740407542,163891033.7000135,373637752.6927759
2024-01-09 00:00:00+00:00,1091449505.4786036,704093482.4245039,125569643.66982086,1000000.0,0.0,0.0,857796275.7132571,336313578.2906009,389914487.7020402,2864570324.092201,1979871496.047048,2002747.7207657222,163889472.0088489,99241.75311836111,303771975.9269241,46213.36228259952,2284.9364278720445,2618.473752780767,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5800307896499175,1.5499256712899654,1.6280816245513736,1.75,0.0,0.0,1.0,6.737638779329524,47.344550375453295,32.131063006483785,295742341.6389576,0.001635177215541799,0.03300211190487275,2.700789248408343,5.005882209338916,6.045439091865723,5.565889794616791,5.404501425662277,47.42334021650003,47.110595137321084,32.7782119375825,33.64622485009364,6.453866750461783,6.113783774212082,0.033162992273607125,0.03344266092136113,0.0016433190545595475,0.0016292911265601636,2.713803267335598,2.7040503518684207,5.565889794616791,5.404501425662277,5.030081722175147,4.98577250879458,6068300515.745469,125124268.61390457,1091449505.4786036,704093482.4245039,1000000.0,0.0,0.0,817692925.492354,303771975.9269241,5.030081722175147,4.98577250879458,295742341.6389576,262962222.06666666,280939258.28571427,2270.1139787946427,11200055271.466667,44604.759486607145,25442134554.7,25442134554.7,11200055271.466667,2873009594.611006,1949809462.1369572,408860168.79512024,2002667.3269302899,99227.4674040754,163892007.89036167,366855411.5907659
2024-01-10 00:00:00+00:00,1091449505.4786036,704093482.4245039,126817155.13957532,1000000.0,0.0,0.0,857796275.7132571,346990344.2128852,395277131.44828844,2907104970.3352585,2005162135.1957376,2002667.3269302899,163890330.54962063,99234.61026121827,303771975.9269241,45400.0,2509.004999999999,2915.6604866207167,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.581920578942059,1.5529604658744873,1.6279025442781303,1.75,0.0,0.0,1.0,6.244365807522933,47.931118072777636,32.98115483565703,298092678.5784774,0.0015075820920042676,0.03042691179476943,2.490057119421825,4.615266346517408,5.706103324216406,5.664162962415331,5.502630618529915,47.462323609368795,47.225563775884304,32.738691926476584,33.45783437155125,6.45596484368084,6.119181904677783,0.03273599038561943,0.033293419295338786,0.0016221094086292694,0.0016235852804740373,2.6789826437428026,2.6914812427537878,5.664162962415331,5.502630618529915,4.9655159145214105,4.968391082027148,6581894805.619283,125569643.66982086,1091449505.4786036,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.9655159145214105,4.968391082027148,298092678.5784774,260775756.53333333,267647421.2857143,2323.162772042411,11568483638.333334,45144.70256696428,25758199263.366665,25758199263.366665,11568483638.333334,3154775770.7073965,2170784916.961363,410997588.7292185,2002667.3269302899,99227.4674040754,163892940.20017824,375569718.2998689
2024-01-11 00:00:00+00:00,1091449505.4786038,704093482.4245039,132263957.91271743,1000000.0,0.0,0.0,857796275.7132571,351213586.0086309,401405824.6667054,2960240893.848515,2040141496.3376296,2002667.3269302899,163891207.1608157,99227.46740407542,303771975.9269241,46198.2,2609.8300000000017,3014.008168885358,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.581883498228426,1.5480042102540148,1.6274859071490808,1.75,0.0,0.0,1.0,6.351469514032253,48.65242383207081,33.342578600982996,297895044.9375407,0.0014704300090523045,0.02967708652358404,2.4287112940870212,4.501530080306352,4.69213916198793,5.657610339857713,5.551081289888571,47.54862304627597,47.374044636873265,32.77413656196209,33.294856057088765,6.453893888762993,6.122791909687992,0.0322536853972377,0.03311226059818709,0.0015980944380419857,0.0016163080666626274,2.6395262705572087,2.6762979069235238,5.657610339857713,5.551081289888571,4.8923581127487585,4.946199630873043,6748193847.5961685,126817155.13957532,1091449505.4786038,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.8923581127487585,4.946199630873043,297895044.9375407,260762201.56666666,266599542.14285713,2373.245779854911,11941287460.166666,45457.368861607145,26460006410.6,26460006410.6,11941287460.166666,3283159871.742214,2250021837.781451,428609474.9778707,2002667.3269302899,99227.4674040754,163894146.12345365,316634646.2499199
2024-01-12 00:00:00+00:00,1091449505.4786038,704093482.4245039,134051329.64096875,1000000.0,0.0,0.0,857796275.7132571,340805916.6187893,404894297.1181237,3006608983.496857,2075750786.0575678,2002667.3269302899,163859691.66125295,99227.4674040754,303771975.9269241,43710.08277103434,2544.4822490651027,2945.148170930549,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5811182897054123,1.5525733348843127,1.625065876302408,1.75,0.0,0.0,1.0,6.240065541078621,48.49149360422377,33.96950577534703,296989960.7199806,0.0015289975257160614,0.030859130720724697,2.5219676287535253,4.680826909375193,4.063752412975419,5.432000140596318,5.52145902643307,47.716055410104595,47.51487266626494,32.9438585231453,33.197421023454666,6.4338882459281725,6.129266418109567,0.03186551377707493,0.032995069616961505,0.001578861444988702,0.0016121646463189037,2.6072744971048705,2.668773572683944,5.432000140596318,5.52145902643307,4.8334788078986906,4.933600058790534,6489707519.808125,132263957.91271743,1091449505.4786038,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.8334788078986906,4.933600058790534,296989960.7199806,261546193.0,264725914.85714287,2409.7904924665177,12309535585.833334,45270.29408482143,27011166884.8,27011166884.8,12309535585.833334,3146956106.900586,2204521570.7443514,404962002.6603348,2002667.3269302899,99227.4674040754,163668322.85034418,263725645.93124992
2024-01-13 00:00:00+00:00,1091449505.4786038,704093482.4245039,136015700.12816665,1000000.0,0.0,0.0,857796275.7132571,328488940.7801909,406921601.828852,3057992441.037076,2110690602.7888198,2002667.3269302899,163828197.16571885,99227.4674040754,303771975.9269241,42861.62614258626,2572.5083962613267,2942.866877079325,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5794394073641798,1.5516216710317305,1.6266506280826123,1.75,0.0,0.0,1.0,6.116460157876202,48.8940707215393,33.86563956297297,299003321.57944745,0.0015246306753756013,0.030770996369146212,2.514775135996381,4.6674583654507895,3.90930042911985,5.176186740267992,5.429875850487841,47.95404511903206,47.70398170966902,33.09782078132666,33.0983195118951,6.390025948248467,6.139335871414152,0.031474190014265664,0.03292946827786714,0.001559472270662821,0.0016104982276023028,2.5747663744286373,2.6653676287815244,5.176186740267992,5.429875850487841,4.774121374411252,4.928579461246894,6508295353.537352,134051329.64096875,1091449505.4786038,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.774121374411252,4.928579461246894,299003321.57944745,258409732.53333333,265133220.7142857,2457.643798828125,12297589113.0,45106.46372767857,26845277894.5,26845277894.5,12297589113.0,3182170532.925209,2204075846.122677,398077292.2560202,2002667.3269302899,99227.4674040754,163668993.32796508,254428818.1842229
2024-01-14 00:00:00+00:00,1091449505.4786038,704093482.4245039,136713973.38257554,1000000.0,0.0,0.0,857796275.7132571,315308922.00265706,409487362.3731712,3097146251.531874,2142569658.5862606,2002667.3269302899,159492581.3628768,99227.4674040754,303771975.9269241,42935.45,2500.3000000000006,2921.7139810106046,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5793693547479564,1.5543057392542676,1.6263588322905986,1.75,0.0,0.0,1.0,6.336632102432498,48.53723593788226,34.206575136065254,302490907.0001888,0.001557397010857378,0.03143230589572489,2.095949602881022,4.76776823663445,4.022849281197937,4.918004647023824,5.3479295494747925,48.15362874064014,47.79619187424507,33.310154629822236,33.104332770604074,6.373500645899619,6.151425569913855,0.03117934454302004,0.03284524461621973,0.0015448633693271661,0.0016079681412921837,2.4825890042228087,2.644749149600303,4.918004647023824,5.3479295494747925,4.729398124479035,4.920917873404405,6371366242.025128,136015700.12816665,1091449505.4786038,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.729398124479035,4.920917873404405,302490907.0001888,255307423.1,257931199.57142857,2493.2688337053573,12269136763.633333,44799.77399553572,26774677463.166668,26774677463.166668,12269136763.633333,3092485065.3583193,2179426180.7722225,403730038.6557113,2002667.3269302899,99227.4674040754,133540625.44782117,256310461.0697959
2024-01-15 00:00:00+00:00,1094733213.2903283,704093482.4245039,139249056.18492883,1000000.0,0.0,0.0,857796275.7132571,292992405.74940175,408358470.1986818,3122025902.1926613,2164228215.1528616,2002667.3269302899,155156957.05779696,99227.4674040754,303771975.9269241,42815.630000000005,2522.85,2921.9008827002945,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.57928719575003,1.554628921123837,1.627045947419243,1.75,0.0,0.0,1.0,6.328137245704228,48.984387543277315,34.380408347191874,310134250.55224514,0.001557072900935276,0.031425764517935974,2.095529704847512,4.766776016294355,3.4117783052658592,4.55019457237559,5.213319147501519,48.405040012460624,47.90690394086446,33.55384646638585,33.13886202621096,6.336395592568037,6.16630763403458,0.031084901103822567,0.03277355140482266,0.0015401839184975268,0.0016060404055349543,2.406825676342233,2.6251283015775724,4.55019457237559,5.213319147501519,4.715072594845352,4.915099358000566,6372692463.177103,136713973.38257554,1091449505.4786038,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.715072594845352,4.915099358000566,310134250.55224514,252811271.0,266513788.57142857,2518.744698660714,12363605915.966667,44162.84040178572,27039127162.1,27039127162.1,12363605915.966667,3121624373.103897,2190957691.551008,403272725.31649643,2002667.3269302899,99227.46740407542,133541663.56445476,217422138.9199889
2024-01-16 00:00:00+00:00,1094733213.2903283,721242000.7126703,139808067.42473096,1000000.0,0.0,0.0,899651294.526224,267975478.9734486,408068391.67748225,3164942648.378649,2208419592.1715894,2002667.3269302899,150821279.9766887,99227.46740407542,303771975.9269241,43162.36790811897,2567.6842857862025,2955.2828906161326,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5789564051514002,1.5538914601849503,1.6248465604222586,1.75,0.0,0.0,1.0,6.287395636143151,49.04409361445591,34.9142823732967,318053440.6414583,0.0015335224285056698,0.030950454980139507,2.0638445078144203,4.694679310300423,2.9632205805807432,4.1098776421920205,5.116617959254285,48.647831903746706,47.96374648192148,33.951449233073404,33.189147708867594,6.272075143541413,6.1829683050248345,0.030791807257432108,0.032694349553071,0.0015256618060637943,0.0016037285363784037,2.3158335705431012,2.6051172167389947,4.1098776421920205,5.116617959254285,4.670615037839853,4.908104250103362,6470558601.530655,139249056.18492883,1094733213.2903283,704093482.4245039,1000000.0,0.0,0.0,857796275.7132571,303771975.9269241,4.670615037839853,4.908104250103362,318053440.6414583,251044899.53333333,251608879.42857143,2553.4395577566966,12485368024.033333,43736.44252232143,27285266157.566666,27285266157.566666,12485368024.033333,3173426817.912924,2259149101.268051,406829619.1467237,2002667.3269302899,99227.4674040754,133542268.32260399,191736924.1590939
2024-01-17 00:00:00+00:00,1098015009.698404,731906228.8872074,141594531.98774022,1000000.0,0.0,0.0,899651294.526224,245104942.57147262,408893799.1467172,3165531859.765661,2221033328.007829,2002667.3269302899,146485526.3671318,99227.4674040754,303771975.9269241,42586.11053125607,2548.155030273473,2919.5001223530026,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5785400602427826,1.5581468683692525,1.6229959137150978,1.75,0.0,0.0,1.0,6.422156643909588,48.67597807900835,34.81052639163584,319869582.1033942,0.0015290112524317565,0.03085940776140453,2.057779390168355,4.680868931928612,3.3203021443354213,3.7690489022090228,5.015276411647522,48.754240476065384,48.02931696893026,34.212788026784665,33.23574804586947,6.2974738344537915,6.203864705719981,0.030853592395522832,0.03259470504961978,0.0015287231146962922,0.0016004290483360639,2.2540796092211766,2.583511767310751,3.7690489022090228,5.015276411647522,4.67998683575574,4.898086966424063,6489649258.385963,139808067.42473096,1094733213.2903283,721242000.7126703,1000000.0,0.0,0.0,899651294.526224,303771975.9269241,4.67998683575574,4.898086966424063,319869582.1033942,251314888.73333332,244507436.0,2545.763253348214,12487850725.033333,43181.42466517857,27139485843.8,27139485843.8,12487850725.033333,3158900250.4164796,2259081067.8150454,416775441.01386344,2002667.3269302899,99227.46740407542,133542664.93327983,215475963.4860369
2024-01-18 00:00:00+00:00,1139985852.1490521,741274518.0490646,145841863.53650236,1000000.0,0.0,0.0,699333575.0497981,234024420.56265232,406260177.9778012,3147100054.5895844,2213484808.931507,2002667.3269302899,142149708.85450956,99227.4674040754,303771975.9269241,40907.46,2441.325,2826.1748515646377,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5694381204573544,1.5558328641648353,1.6217751284948825,1.75,0.0,0.0,1.0,6.369181407003232,48.97742427708686,34.11783222998884,319057457.9028943,0.0015408035250580661,0.031097406369217387,2.0736614882377835,4.7169694396819315,3.7122929481070757,3.6290708716546147,4.885640956291098,48.800669111067684,48.098725585790085,34.32353854521407,33.312811701050606,6.300004104878218,6.218283864005538,0.031056495230613317,0.03249742273772635,0.001538776474125687,0.0015972546875329529,2.203358208385571,2.561990058806672,3.6290708716546147,4.885640956291098,4.710763887095108,4.888453156630746,6439981852.996861,141594531.98774022,1098015009.698404,731906228.8872074,1000000.0,0.0,0.0,899651294.526224,303771975.9269241,4.710763887095108,4.888453156630746,319057457.9028943,246987108.5,224146970.85714287,2523.963204520089,12530545673.4,42451.92075892857,27207731042.5,27207731042.5,12530545673.4,3154137235.509673,2197182204.2471957,410174126.7954583,2002667.3269302899,99227.46740407542,133543423.5350979,239070992.18817788
2024-01-19 00:00:00+00:00,1171298081.9408073,747655596.9990771,150869637.3995191,1000000.0,0.0,0.0,699333575.0497981,228086964.73381832,409372111.053559,3167043844.8637004,2217869741.557685,2002667.3269302899,137846257.22352085,99227.4674040754,303771975.9269241,41713.76499999999,2468.2294952181082,2853.8870752116386,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5606303931317327,1.5619745414820088,1.6209982431657468,1.75,0.0,0.0,1.0,6.455956224034345,49.720273145931024,33.815133682870716,321080264.9425444,0.0015011479545942417,0.03029705423511242,2.020302946637061,4.595569072309353,3.360966726027807,3.5286729163763844,4.7776494165375025,48.97620904559729,48.1818760827099,34.30148538914603,33.369305109270854,6.330845631014749,6.22576554875909,0.03097619858981156,0.03236458982184634,0.001534797963965427,0.0015923317553020418,2.1316918252260764,2.5379799402125736,3.5286729163763844,4.7776494165375025,4.698584196085703,4.873466980932936,6610105759.421725,145841863.53650236,1139985852.1490521,741274518.0490646,1000000.0,0.0,0.0,699333575.0497981,303771975.9269241,4.698584196085703,4.873466980932936,321080264.9425444,245274680.76666668,206828465.0,2518.968680245536,12488978592.366667,42275.52622767857,27137181008.5,27137181008.5,12488978592.366667,3286562638.8194,2235216099.127593,426745534.1906396,2002667.3269302899,99227.4674040754,133544161.43342319,222163455.12941188
2024-01-20 00:00:00+00:00,1100066062.6750965,747655596.9990771,151270681.15992117,1000000.0,0.0,0.0,790066190.7811741,243840761.8720053,413413639.6197146,3151836464.0746818,2221045641.772668,2002667.3269302899,133542807.48693469,99227.46740407542,303771975.9269241,41703.000000000015,2465.323674240796,2842.034002954528,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5774000720802268,1.561635214791777,1.6210149501604059,1.75,0.0,0.0,1.0,6.526855100934507,47.08320452072631,34.08038227051659,320618870.05988395,0.0015189773003557912,0.030656896616978263,2.0443088360759245,4.650151293675689,5.582922104153645,3.767761727095498,4.750825091205,48.71751387405258,48.16652479280557,34.33216291879511,33.433426425242374,6.389473480023079,6.238524669693642,0.03095989862521614,0.03225162956582043,0.001533990338962597,0.0015883820323108373,2.064482353808868,2.5153994350005493,3.767761727095498,4.750825091205,4.696111757260688,4.861459574454746,6532518121.293405,150869637.3995191,1171298081.9408073,747655596.9990771,1000000.0,0.0,0.0,699333575.0497981,303771975.9269241,4.696111757260688,4.861459574454746,320618870.05988395,244959462.36666667,199641042.14285713,2503.681710379464,12245021779.866667,42107.412388392855,26774978499.666668,26774978499.666668,12245021779.866667,3075718867.402082,2226307147.6275606,426367992.21910965,2002667.3269302899,99227.4674040754,133544845.17186205,364705398.1515319
2024-01-21 00:00:00+00:00,1100066062.6750965,747655596.9990771,151270681.15992117,1000000.0,0.0,0.0,790066190.7811741,259459952.58049187,416672318.12449396,3148561872.0557446,2228925669.529978,2002667.3269302899,133543449.04062302,99227.46740407542,303771975.9269241,41710.87550859252,2472.8242693896123,2853.0986842213006,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5782240186034033,1.5613910502525696,1.6210236869300827,1.75,0.0,0.0,1.0,6.526267617055319,46.96570561600092,34.190185560136555,320203655.0282177,0.0015182252792069028,0.030641718882189303,2.0433008805064836,4.647849078812073,5.594531303327268,3.992287730256831,4.729275019665781,48.493009542355246,48.13844080169917,34.329821550805306,33.490163178622964,6.416564267826339,6.257405675743683,0.030846957623282486,0.03217687544146434,0.0015283943772982434,0.0015862691447288899,2.0569611077553627,2.4958796499127227,3.992287730256831,4.729275019665781,4.678980449000348,4.8550725297694965,6535753867.562414,151270681.15992117,1100066062.6750965,747655596.9990771,1000000.0,0.0,0.0,790066190.7811741,303771975.9269241,4.678980449000348,4.8550725297694965,320203655.0282177,240443209.06666666,193722517.7142857,2501.063406808036,11859729301.366667,42071.62890625,26385496513.866665,26385496513.866665,11859729301.366667,3069562921.225758,2234586375.073391,426540788.18916637,2002667.3269302899,99227.46740407542,133545116.32363936,365644796.02920187
2024-01-22 00:00:00+00:00,1128518172.3081684,747655596.9990771,151270681.15992117,1000000.0,0.0,0.0,790066190.7811741,276209595.2435936,417874501.5171318,3130695846.555808,2214296475.721191,2002667.3269302899,133544049.90537228,99227.46740407542,303771975.9269241,40245.599505182356,2358.819222923089,2667.0039846324385,0.0,0.3723729233,0.0,1.0,5.33,1.55,20877.4,807.6573999999999,1.5739447861990636,1.56195850228219,1.621096778770067,1.75,0.0,0.0,1.0,6.565062018271556,47.78525537789273,33.30551745521906,314039234.9668965,0.0015823498938026702,0.03193591971047393,2.1296148953074376,4.844158239883221,5.336873743821719,4.26730136433624,4.689835030792361,48.321704947300304,48.15057488666799,34.1762657090949,33.51624386476124,6.450410663907386,6.2769477800474895,0.030919836936502194,0.032137376283484356,0.0015320053762792995,0.0015859145028210423,2.061830420678209,2.4786064368598204,4.26730136433624,4.689835030792361,4.6900350523701855,4.854068710084801,6270892916.459459,151270681.15992117,1100066062.6750965,747655596.9990771,1000000.0,0.0,0.0,790066190.7811741,303771975.9269241,4.6900350523701855,4.854068710084801,314039234.9668965,243624634.1,190788911.14285713,2472.415213448661,12057329260.8,41642.400111607145,26979860233.366665,26979860233.366665,12057329260.8,2996562194.604338,2088553334.889501,411688009.0649614,2002667.3269302899,99227.46740407542,133545869.61769964,334669637.5617009
