DATE,QBPBSTLKTEQKTBKEQK
2019-07-01,2098263.083
2019-10-01,2110783.216
2020-01-01,2115322.215
2020-04-01,2146917.918
2020-07-01,2183160.224
2020-10-01,2224368.895
2021-01-01,2250467.943
2021-04-01,2305704.916
2021-07-01,2339478.393
2021-10-01,2357422.416
2022-01-01,2257709.12
2022-04-01,2218102.306
2022-07-01,2162377.964
2022-10-01,2204532.715
2023-01-01,2260065.82
2023-04-01,2250586.229
2023-07-01,2242554.123
2023-10-01,2294659.634
