DATE,M2V
2019-07-01,1.453
2019-10-01,1.437
2020-01-01,1.392
2020-04-01,1.128
2020-07-01,1.175
2020-10-01,1.163
2021-01-01,1.154
2021-04-01,1.144
2021-07-01,1.145
2021-10-01,1.157
2022-01-01,1.157
2022-04-01,1.178
2022-07-01,1.204
2022-10-01,1.236
2023-01-01,1.272
2023-04-01,1.302
2023-07-01,1.33
2023-10-01,1.348
