DATE,RPTTLD
2019-10-31,72.533
2019-11-01,104.583
2019-11-04,77.583
2019-11-05,102.143
2019-11-06,62.61
2019-11-07,115.142
2019-11-08,70.643
2019-11-11,.
2019-11-12,111.909
2019-11-13,77.093
2019-11-14,104.293
2019-11-15,68.343
2019-11-18,61.043
2019-11-19,102.443
2019-11-20,74.35
2019-11-21,103.65
2019-11-22,80.6
2019-11-25,93.5
2019-11-26,92.7
2019-11-27,108.95
2019-11-28,.
2019-11-29,88.45
2019-12-02,97.9
2019-12-03,95.557
2019-12-04,70.1
2019-12-05,107.4
2019-12-06,72.8
2019-12-09,81.4
2019-12-10,70.2
2019-12-11,42.0
2019-12-12,68.9
2019-12-13,56.45
2019-12-16,86.4
2019-12-17,58.75
2019-12-18,29.362
2019-12-19,57.519
2019-12-20,26.7
2019-12-23,49.35
2019-12-24,24.8
2019-12-25,.
2019-12-26,28.8
2019-12-27,25.8
2019-12-30,39.1
2019-12-31,25.6
2020-01-01,.
2020-01-02,56.718
2020-01-03,51.15
2020-01-06,76.895
2020-01-07,63.919
2020-01-08,46.619
2020-01-09,83.125
2020-01-10,40.875
2020-01-13,60.725
2020-01-14,47.0
2020-01-15,47.5
2020-01-16,74.15
2020-01-17,52.63
2020-01-20,.
2020-01-21,58.626
2020-01-22,49.826
2020-01-23,74.15
2020-01-24,55.3
2020-01-27,49.6
2020-01-28,55.75
2020-01-29,49.225
2020-01-30,82.575
2020-01-31,45.552
2020-02-03,59.85
2020-02-04,64.45
2020-02-05,47.5
2020-02-06,76.75
2020-02-07,42.75
2020-02-10,38.2
2020-02-11,37.915
2020-02-12,40.6
2020-02-13,78.85
2020-02-14,47.65
2020-02-17,.
2020-02-18,53.55
2020-02-19,48.9
2020-02-20,40.25
2020-02-21,26.0
2020-02-24,40.75
2020-02-25,74.46
2020-02-26,38.44
2020-02-27,30.19
2020-02-28,26.24
2020-03-02,53.14
2020-03-03,120.0
2020-03-04,100.0
2020-03-05,87.357
2020-03-06,89.607
2020-03-09,112.932
2020-03-10,123.625
2020-03-11,132.375
2020-03-12,103.1
2020-03-13,69.25
2020-03-16,167.45
2020-03-17,152.75
2020-03-18,13.2
2020-03-19,12.5
2020-03-20,53.25
2020-03-23,34.5
2020-03-24,32.9
2020-03-25,10.9
2020-03-26,10.35
2020-03-27,0.0
2020-03-30,3.85
2020-03-31,0.0
2020-04-01,0.65
2020-04-02,3.55
2020-04-03,0.9
2020-04-06,6.3
2020-04-07,10.8
2020-04-08,7.45
2020-04-09,0.0
2020-04-10,.
2020-04-13,15.85
2020-04-14,31.9
2020-04-15,16.35
2020-04-16,43.35
2020-04-17,12.35
2020-04-20,7.95
2020-04-21,0.0
2020-04-22,0.5
2020-04-23,13.5
2020-04-24,6.5
2020-04-27,0.3
2020-04-28,0.0
2020-04-29,2.0
2020-04-30,12.15
2020-05-01,21.4
2020-05-04,20.35
2020-05-05,14.5
