period,balance,item,normalized
2020-07-12 00:00:00+00:00,-78682890.03911628,DSR,-0.41484162556352755
2020-07-12 00:00:00+00:00,,Stablecoins,
2020-07-13 00:00:00+00:00,-82736367.12821211,DSR,-0.425296094887365
2020-07-13 00:00:00+00:00,,Real-World Assets,
2020-07-13 00:00:00+00:00,,Others assets,
2020-07-13 00:00:00+00:00,194538271.38978064,Crypto-Loans,1.0
2020-07-13 00:00:00+00:00,-111565140.11616668,DAI,-0.5734868482131859
2020-07-13 00:00:00+00:00,-236764.1454017305,Equity,-0.001217056899448568
2020-07-13 00:00:00+00:00,,Stablecoins,
2020-07-14 00:00:00+00:00,-240223.65231309077,Equity,-0.0012290467815345213
2020-07-14 00:00:00+00:00,-108505997.63499522,DAI,-0.5551449488274055
2020-07-14 00:00:00+00:00,,Stablecoins,
2020-07-14 00:00:00+00:00,195455255.180084,Crypto-Loans,1.0
2020-07-14 00:00:00+00:00,,Real-World Assets,
2020-07-14 00:00:00+00:00,,Others assets,
2020-07-14 00:00:00+00:00,-86709033.89277557,DSR,-0.44362600439105937
2020-07-15 00:00:00+00:00,,Stablecoins,
2020-07-15 00:00:00+00:00,-108067101.21320577,DAI,-0.54822762037786
2020-07-15 00:00:00+00:00,197120862.20450127,Crypto-Loans,1.0
2020-07-15 00:00:00+00:00,-88810026.19096504,DSR,-0.45053590572686253
2020-07-15 00:00:00+00:00,,Others assets,
2020-07-15 00:00:00+00:00,,Real-World Assets,
2020-07-15 00:00:00+00:00,-243734.80033036627,Equity,-0.0012364738952770295
2020-07-16 00:00:00+00:00,197934071.42586192,Crypto-Loans,1.0
2020-07-16 00:00:00+00:00,,Stablecoins,
2020-07-16 00:00:00+00:00,-247292.81693298192,Equity,-0.0012493696267224402
2020-07-16 00:00:00+00:00,-88223563.27745833,DSR,-0.4457219651064637
2020-07-16 00:00:00+00:00,,Real-World Assets,
2020-07-16 00:00:00+00:00,,Others assets,
2020-07-16 00:00:00+00:00,-109463215.33147049,DAI,-0.5530286652668132
2020-07-17 00:00:00+00:00,-108890570.08368464,DAI,-0.5268154577369979
2020-07-17 00:00:00+00:00,,Stablecoins,
2020-07-17 00:00:00+00:00,,Real-World Assets,
2020-07-17 00:00:00+00:00,-251021.24026228793,Equity,-0.0012144473987862818
2020-07-17 00:00:00+00:00,-97554261.05562775,DSR,-0.4719700948642152
2020-07-17 00:00:00+00:00,,Others assets,
2020-07-17 00:00:00+00:00,206695852.3795748,Crypto-Loans,1.0
2020-07-18 00:00:00+00:00,,Others assets,
2020-07-18 00:00:00+00:00,208681950.547903,Crypto-Loans,1.0
2020-07-18 00:00:00+00:00,-255453.02202125502,Equity,-0.001224126098833908
2020-07-18 00:00:00+00:00,,Stablecoins,
2020-07-18 00:00:00+00:00,,Real-World Assets,
2020-07-18 00:00:00+00:00,-117646043.03178504,DAI,-0.563757635592827
2020-07-18 00:00:00+00:00,-90780454.49409659,DSR,-0.4350182383083386
2020-07-19 00:00:00+00:00,-66882904.29504415,DSR,-0.30703698882400904
2020-07-19 00:00:00+00:00,,Real-World Assets,
2020-07-19 00:00:00+00:00,,Stablecoins,
2020-07-19 00:00:00+00:00,217833377.50677606,Crypto-Loans,1.0
2020-07-19 00:00:00+00:00,-150690918.03400674,DAI,-0.6917714803798571
2020-07-19 00:00:00+00:00,-259555.1777250571,Equity,-0.0011915307961333115
2020-07-19 00:00:00+00:00,,Others assets,
2020-07-20 00:00:00+00:00,-171164979.9241825,DAI,-0.7872141530920446
2020-07-20 00:00:00+00:00,,Stablecoins,
2020-07-20 00:00:00+00:00,217431278.70843697,Crypto-Loans,1.0
2020-07-20 00:00:00+00:00,,Real-World Assets,
2020-07-20 00:00:00+00:00,-46001741.56579644,DSR,-0.21156910743960702
2020-07-20 00:00:00+00:00,-264557.21845789236,Equity,-0.0012167394683478296
2020-07-20 00:00:00+00:00,,Others assets,
2020-07-21 00:00:00+00:00,-38843399.92302108,DSR,-0.1768779501724047
2020-07-21 00:00:00+00:00,219605665.2915755,Crypto-Loans,1.0
2020-07-21 00:00:00+00:00,,Others assets,
2020-07-21 00:00:00+00:00,-180492883.45267007,DAI,-0.8218953878672735
2020-07-21 00:00:00+00:00,-269381.91588424507,Equity,-0.001226661960321381
2020-07-21 00:00:00+00:00,,Stablecoins,
2020-07-21 00:00:00+00:00,,Real-World Assets,
2020-07-22 00:00:00+00:00,217568688.01130977,Crypto-Loans,1.0
2020-07-22 00:00:00+00:00,,Real-World Assets,
2020-07-22 00:00:00+00:00,,Others assets,
2020-07-22 00:00:00+00:00,,Stablecoins,
2020-07-22 00:00:00+00:00,-274252.1803248985,Equity,-0.0012605314801118908
2020-07-22 00:00:00+00:00,-184981036.5351681,DAI,-0.8502190192255621
2020-07-22 00:00:00+00:00,-32313399.295816645,DSR,-0.14852044929432545
2020-07-23 00:00:00+00:00,-278329.0971788708,Equity,-0.001089730496354054
2020-07-23 00:00:00+00:00,,Real-World Assets,
2020-07-23 00:00:00+00:00,,Stablecoins,
2020-07-23 00:00:00+00:00,-221316679.80938303,DAI,-0.8665121174345507
2020-07-23 00:00:00+00:00,,Others assets,
2020-07-23 00:00:00+00:00,-33815937.29535238,DSR,-0.13239815206909444
2020-07-23 00:00:00+00:00,255410946.2019145,Crypto-Loans,1.0
