period,balance,item,normalized
2020-10-28 00:00:00+00:00,,Stablecoins,
2020-10-28 00:00:00+00:00,-306689537.8109391,DSR,-0.32714033562620415
2020-10-28 00:00:00+00:00,937486162.3953565,Crypto-Loans,1.0
2020-10-28 00:00:00+00:00,-628655523.5148435,DAI,-0.6705757895226692
2020-10-28 00:00:00+00:00,,Others assets,
2020-10-28 00:00:00+00:00,-2141101.069573383,Equity,-0.002283874851126003
2020-10-28 00:00:00+00:00,,Real-World Assets,
2020-10-29 00:00:00+00:00,,Stablecoins,
2020-10-29 00:00:00+00:00,,Real-World Assets,
2020-10-29 00:00:00+00:00,-2196364.48655164,Equity,-0.0023502111787081547
2020-10-29 00:00:00+00:00,-278645886.3688152,DSR,-0.29816393456316
2020-10-29 00:00:00+00:00,,Others assets,
2020-10-29 00:00:00+00:00,-653696954.1529758,DAI,-0.6994858542581313
2020-10-29 00:00:00+00:00,934539205.0083432,Crypto-Loans,1.0
2020-10-30 00:00:00+00:00,-644152674.4465678,DAI,-0.6984005523781853
2020-10-30 00:00:00+00:00,-2286308.3638969082,Equity,-0.0024788518119937056
2020-10-30 00:00:00+00:00,,Others assets,
2020-10-30 00:00:00+00:00,,Stablecoins,
2020-10-30 00:00:00+00:00,-275886568.41240627,DSR,-0.2991205958098203
2020-10-30 00:00:00+00:00,,Real-World Assets,
2020-10-30 00:00:00+00:00,922325551.2228715,Crypto-Loans,1.0
2020-10-31 00:00:00+00:00,-273910083.43115246,DSR,-0.29618267434871165
2020-10-31 00:00:00+00:00,-648519404.6091152,DAI,-0.701252795143781
2020-10-31 00:00:00+00:00,,Others assets,
2020-10-31 00:00:00+00:00,,Stablecoins,
2020-10-31 00:00:00+00:00,,Real-World Assets,
2020-10-31 00:00:00+00:00,924801168.8511649,Crypto-Loans,1.0
2020-10-31 00:00:00+00:00,-2371680.8108966355,Equity,-0.0025645305075066654
2020-11-01 00:00:00+00:00,-650396156.1134862,DAI,-0.69544127544231
2020-11-01 00:00:00+00:00,,Stablecoins,
2020-11-01 00:00:00+00:00,-282370764.2844134,DSR,-0.3019271910138838
2020-11-01 00:00:00+00:00,,Real-World Assets,
2020-11-01 00:00:00+00:00,935228004.2622224,Crypto-Loans,1.0
2020-11-01 00:00:00+00:00,-2461083.8643221846,Equity,-0.0026315335438053646
2020-11-01 00:00:00+00:00,,Others assets,
2020-11-02 00:00:00+00:00,-2548275.557638199,Equity,-0.0026886420275952167
2020-11-02 00:00:00+00:00,,Real-World Assets,
2020-11-02 00:00:00+00:00,947792800.7833142,Crypto-Loans,1.0
2020-11-02 00:00:00+00:00,,Others assets,
2020-11-02 00:00:00+00:00,-288286580.97540426,DSR,-0.30416624892819033
2020-11-02 00:00:00+00:00,-656957944.2502711,DAI,-0.6931451090442138
2020-11-02 00:00:00+00:00,,Stablecoins,
2020-11-03 00:00:00+00:00,948640540.4519565,Crypto-Loans,1.0
2020-11-03 00:00:00+00:00,-653797163.060377,DAI,-0.6891937832942406
2020-11-03 00:00:00+00:00,,Stablecoins,
2020-11-03 00:00:00+00:00,,Others assets,
2020-11-03 00:00:00+00:00,-2630333.637002257,Equity,-0.002772740068381538
2020-11-03 00:00:00+00:00,,Real-World Assets,
2020-11-03 00:00:00+00:00,-292213043.7545767,DSR,-0.30803347663737723
2020-11-04 00:00:00+00:00,-2705969.4069761876,Equity,-0.002873443492432947
2020-11-04 00:00:00+00:00,,Stablecoins,
2020-11-04 00:00:00+00:00,,Real-World Assets,
2020-11-04 00:00:00+00:00,-283884905.8461149,DSR,-0.3014547146026315
2020-11-04 00:00:00+00:00,-655125714.6510448,DAI,-0.6956718419049348
2020-11-04 00:00:00+00:00,,Others assets,
2020-11-04 00:00:00+00:00,941716589.9041365,Crypto-Loans,1.0
2020-11-05 00:00:00+00:00,,Others assets,
2020-11-05 00:00:00+00:00,-650490078.3138124,DAI,-0.69058482806444
2020-11-05 00:00:00+00:00,,Real-World Assets,
2020-11-05 00:00:00+00:00,-288673527.63466406,DSR,-0.30646671654869856
2020-11-05 00:00:00+00:00,,Stablecoins,
2020-11-05 00:00:00+00:00,-2777270.6517162463,Equity,-0.0029484553868608238
2020-11-05 00:00:00+00:00,941940876.6001933,Crypto-Loans,1.0
2020-11-06 00:00:00+00:00,945589917.4825896,Crypto-Loans,1.0
2020-11-06 00:00:00+00:00,-2849287.7832779484,Equity,-0.003013238329426678
2020-11-06 00:00:00+00:00,-639466925.2566851,DAI,-0.6762624192938892
2020-11-06 00:00:00+00:00,,Stablecoins,
2020-11-06 00:00:00+00:00,-303273704.44262594,DSR,-0.32072434237668346
2020-11-06 00:00:00+00:00,,Others assets,
2020-11-06 00:00:00+00:00,,Real-World Assets,
2020-11-07 00:00:00+00:00,-292797432.88864714,DSR,-0.30812397839265754
2020-11-07 00:00:00+00:00,,Others assets,
2020-11-07 00:00:00+00:00,-654540663.9858363,DAI,-0.68880273784295
2020-11-07 00:00:00+00:00,-2920414.0536104804,Equity,-0.003073283764391842
2020-11-07 00:00:00+00:00,950258510.9280945,Crypto-Loans,1.0
2020-11-07 00:00:00+00:00,,Stablecoins,
2020-11-07 00:00:00+00:00,,Real-World Assets,
2020-11-08 00:00:00+00:00,,Real-World Assets,
2020-11-08 00:00:00+00:00,-3050977.0224659326,Equity,-0.0032113823656380945
2020-11-08 00:00:00+00:00,950050998.3213134,Crypto-Loans,1.0
2020-11-08 00:00:00+00:00,,Stablecoins,
2020-11-08 00:00:00+00:00,,Others assets,
2020-11-08 00:00:00+00:00,-294207933.13940716,DSR,-0.30967593703838636
2020-11-08 00:00:00+00:00,-652792088.1594397,DAI,-0.6871126805959749
2020-11-09 00:00:00+00:00,,Stablecoins,
2020-11-09 00:00:00+00:00,,Real-World Assets,
2020-11-09 00:00:00+00:00,-3127083.6677667056,Equity,-0.0032756950174408304
2020-11-09 00:00:00+00:00,954632116.5789638,Crypto-Loans,1.0
2020-11-09 00:00:00+00:00,,Others assets,
2020-11-09 00:00:00+00:00,-627071257.9375037,DAI,-0.6568721573968066
2020-11-09 00:00:00+00:00,-324433774.9736927,DSR,-0.3398521475857519
2020-11-10 00:00:00+00:00,,Real-World Assets,
2020-11-10 00:00:00+00:00,-618299960.3892275,DAI,-0.6444747335415496
2020-11-10 00:00:00+00:00,,Stablecoins,
2020-11-10 00:00:00+00:00,,Others assets,
2020-11-10 00:00:00+00:00,-337884718.38836575,DSR,-0.35218854569232394
2020-11-10 00:00:00+00:00,-3201202.79376706,Equity,-0.003336720766125792
2020-11-10 00:00:00+00:00,959385881.571361,Crypto-Loans,1.0
2020-11-11 00:00:00+00:00,,Others assets,
2020-11-11 00:00:00+00:00,-364608582.3660424,DSR,-0.36805946574484344
2020-11-11 00:00:00+00:00,990624114.5793724,Crypto-Loans,1.0
2020-11-11 00:00:00+00:00,-3279771.729146197,Equity,-0.003310813537523076
2020-11-11 00:00:00+00:00,,Real-World Assets,
2020-11-11 00:00:00+00:00,,Stablecoins,
2020-11-11 00:00:00+00:00,-622735760.4841832,DAI,-0.6286297207176328
2020-11-12 00:00:00+00:00,-363255566.3070376,DSR,-0.3667033822403189
2020-11-12 00:00:00+00:00,-3384015.4347918713,Equity,-0.0034161345911565217
2020-11-12 00:00:00+00:00,990597807.1098843,Crypto-Loans,1.0
2020-11-12 00:00:00+00:00,-623958225.3680542,DAI,-0.629880483168524
2020-11-12 00:00:00+00:00,,Stablecoins,
2020-11-12 00:00:00+00:00,,Others assets,
2020-11-12 00:00:00+00:00,,Real-World Assets,
2020-11-13 00:00:00+00:00,-628504277.1879904,DAI,-0.6306128488968583
2020-11-13 00:00:00+00:00,996656313.4377036,Crypto-Loans,1.0
2020-11-13 00:00:00+00:00,-3470283.6277749664,Equity,-0.0034819260972773418
2020-11-13 00:00:00+00:00,,Others assets,
2020-11-13 00:00:00+00:00,,Real-World Assets,
2020-11-13 00:00:00+00:00,-364681752.6219375,DSR,-0.36590522500586364
2020-11-13 00:00:00+00:00,,Stablecoins,
2020-11-14 00:00:00+00:00,,Real-World Assets,
2020-11-14 00:00:00+00:00,,Stablecoins,
2020-11-14 00:00:00+00:00,-3503643.4473891896,Equity,-0.003507399809311577
2020-11-14 00:00:00+00:00,998929018.0399694,Crypto-Loans,1.0
2020-11-14 00:00:00+00:00,-634050440.4373735,DAI,-0.6347302250578967
2020-11-14 00:00:00+00:00,-361374934.1552061,DSR,-0.36176237513279114
2020-11-14 00:00:00+00:00,,Others assets,
2020-11-15 00:00:00+00:00,,Stablecoins,
2020-11-15 00:00:00+00:00,-645137293.9833224,DAI,-0.6400407412130855
2020-11-15 00:00:00+00:00,-3627005.656717179,Equity,-0.00359835249110452
2020-11-15 00:00:00+00:00,,Others assets,
2020-11-15 00:00:00+00:00,-359198557.16275835,DSR,-0.3563609062958093
2020-11-15 00:00:00+00:00,,Real-World Assets,
2020-11-15 00:00:00+00:00,1007962856.8027986,Crypto-Loans,1.0
2020-11-16 00:00:00+00:00,,Real-World Assets,
2020-11-16 00:00:00+00:00,,Stablecoins,
2020-11-16 00:00:00+00:00,-659279513.0345222,DAI,-0.6533733477320126
2020-11-16 00:00:00+00:00,1009039495.2947055,Crypto-Loans,1.0
2020-11-16 00:00:00+00:00,-346028358.01951253,DSR,-0.34292845783846115
2020-11-16 00:00:00+00:00,,Others assets,
2020-11-16 00:00:00+00:00,-3731624.2406701096,Equity,-0.0036981944295255077
2020-11-17 00:00:00+00:00,,Stablecoins,
2020-11-17 00:00:00+00:00,,Others assets,
2020-11-17 00:00:00+00:00,-649416450.6137435,DAI,-0.6439922008677421
2020-11-17 00:00:00+00:00,-355183625.2280803,DSR,-0.35221695463156777
2020-11-17 00:00:00+00:00,1008422850.057334,Crypto-Loans,1.0
2020-11-17 00:00:00+00:00,,Real-World Assets,
2020-11-17 00:00:00+00:00,-3822774.215509494,Equity,-0.003790844500689517
2020-11-18 00:00:00+00:00,-348654298.6968307,DSR,-0.35054933007459177
2020-11-18 00:00:00+00:00,-3917357.2966462737,Equity,-0.003938649203910268
2020-11-18 00:00:00+00:00,-642022453.2653881,DAI,-0.6455120207214974
2020-11-18 00:00:00+00:00,994594109.2588657,Crypto-Loans,1.0
2020-11-18 00:00:00+00:00,,Others assets,
2020-11-18 00:00:00+00:00,,Real-World Assets,
2020-11-18 00:00:00+00:00,,Stablecoins,
2020-11-19 00:00:00+00:00,,Stablecoins,
2020-11-19 00:00:00+00:00,-644742648.2875422,DAI,-0.6521299241324141
2020-11-19 00:00:00+00:00,988672079.6401119,Crypto-Loans,1.0
2020-11-19 00:00:00+00:00,,Others assets,
2020-11-19 00:00:00+00:00,-4000640.3338023773,Equity,-0.004046478520217398
2020-11-19 00:00:00+00:00,,Real-World Assets,
2020-11-19 00:00:00+00:00,-339928791.01876664,DSR,-0.34382359734736784
2020-11-20 00:00:00+00:00,-650760739.3569632,DAI,-0.6528219127583069
2020-11-20 00:00:00+00:00,996842671.2384166,Crypto-Loans,1.0
2020-11-20 00:00:00+00:00,,Real-World Assets,
2020-11-20 00:00:00+00:00,,Stablecoins,
2020-11-20 00:00:00+00:00,-342079368.4493696,DSR,-0.3431628463741335
2020-11-20 00:00:00+00:00,-4002563.4320830945,Equity,-0.004015240867558924
2020-11-20 00:00:00+00:00,,Others assets,
2020-11-21 00:00:00+00:00,-669808838.8511813,DAI,-0.6595080086032966
2020-11-21 00:00:00+00:00,-4001749.385506993,Equity,-0.00394020743693345
2020-11-21 00:00:00+00:00,,Stablecoins,
2020-11-21 00:00:00+00:00,,Real-World Assets,
2020-11-21 00:00:00+00:00,1015618961.5797081,Crypto-Loans,1.0
2020-11-21 00:00:00+00:00,-341808373.34301907,DSR,-0.3365517839597692
2020-11-21 00:00:00+00:00,,Others assets,
2020-11-22 00:00:00+00:00,,Real-World Assets,
2020-11-22 00:00:00+00:00,-4000738.707269629,Equity,-0.00393735066905842
2020-11-22 00:00:00+00:00,-334798316.2102345,DSR,-0.32949374372655277
2020-11-22 00:00:00+00:00,1016099159.9527426,Crypto-Loans,1.0
2020-11-22 00:00:00+00:00,,Stablecoins,
2020-11-22 00:00:00+00:00,-677300105.0352377,DAI,-0.6665689056043881
2020-11-22 00:00:00+00:00,,Others assets,
2020-11-23 00:00:00+00:00,,Stablecoins,
2020-11-23 00:00:00+00:00,,Others assets,
2020-11-23 00:00:00+00:00,-677701065.582758,DAI,-0.6652764454942005
2020-11-23 00:00:00+00:00,,Real-World Assets,
2020-11-23 00:00:00+00:00,1018675875.5291986,Crypto-Loans,1.0
2020-11-23 00:00:00+00:00,-336974698.4314984,DSR,-0.3307967789621416
2020-11-23 00:00:00+00:00,-4000111.5149415997,Equity,-0.003926775543657157
2020-11-24 00:00:00+00:00,,Real-World Assets,
2020-11-24 00:00:00+00:00,-337408018.5493093,DSR,-0.3251317657325588
2020-11-24 00:00:00+00:00,-696344918.465241,DAI,-0.6710091060459237
2020-11-24 00:00:00+00:00,,Others assets,
2020-11-24 00:00:00+00:00,,Stablecoins,
2020-11-24 00:00:00+00:00,-4004840.325632046,Equity,-0.0038591282215167983
2020-11-24 00:00:00+00:00,1037757777.340183,Crypto-Loans,1.0
2020-11-25 00:00:00+00:00,,Others assets,
2020-11-25 00:00:00+00:00,-696117393.9489757,DAI,-0.6674570926346696
2020-11-25 00:00:00+00:00,,Real-World Assets,
2020-11-25 00:00:00+00:00,-4003303.340273293,Equity,-0.003838480738536652
2020-11-25 00:00:00+00:00,-342818843.88960654,DSR,-0.328704426626793
2020-11-25 00:00:00+00:00,,Stablecoins,
2020-11-25 00:00:00+00:00,1042939541.1788563,Crypto-Loans,1.0
2020-11-26 00:00:00+00:00,1009796602.6618216,Crypto-Loans,1.0
2020-11-26 00:00:00+00:00,-355741141.9226829,DSR,-0.3522898977724326
2020-11-26 00:00:00+00:00,-4001417.4022744894,Equity,-0.003962597409940538
2020-11-26 00:00:00+00:00,,Others assets,
2020-11-26 00:00:00+00:00,,Stablecoins,
2020-11-26 00:00:00+00:00,-650054043.3368634,DAI,-0.643747504817626
2020-11-26 00:00:00+00:00,,Real-World Assets,
2020-11-27 00:00:00+00:00,-4000581.951292745,Equity,-0.003956854699113871
2020-11-27 00:00:00+00:00,,Stablecoins,
2020-11-27 00:00:00+00:00,-654404662.0490901,DAI,-0.6472518732716462
2020-11-27 00:00:00+00:00,,Real-World Assets,
2020-11-27 00:00:00+00:00,1011051012.8634914,Crypto-Loans,1.0
2020-11-27 00:00:00+00:00,,Others assets,
2020-11-27 00:00:00+00:00,-352645768.8631077,DSR,-0.34879127202923904
2020-11-28 00:00:00+00:00,-4000036.924359839,Equity,-0.00394848411949194
2020-11-28 00:00:00+00:00,,Stablecoins,
2020-11-28 00:00:00+00:00,-352722413.43126947,DSR,-0.34817649795698496
2020-11-28 00:00:00+00:00,,Others assets,
2020-11-28 00:00:00+00:00,1013056353.6050216,Crypto-Loans,1.0
2020-11-28 00:00:00+00:00,-656333903.2493916,DAI,-0.6478750179235223
2020-11-28 00:00:00+00:00,,Real-World Assets,
2020-11-29 00:00:00+00:00,,Stablecoins,
2020-11-29 00:00:00+00:00,,Real-World Assets,
2020-11-29 00:00:00+00:00,,Others assets,
2020-11-29 00:00:00+00:00,-349841418.52156264,DSR,-0.3409191053691002
2020-11-29 00:00:00+00:00,-672326573.3979009,DAI,-0.6551796379265986
2020-11-29 00:00:00+00:00,1026171349.777545,Crypto-Loans,1.0
2020-11-29 00:00:00+00:00,-4003357.8580806064,Equity,-0.003901256704300369
2020-11-30 00:00:00+00:00,,Others assets,
2020-11-30 00:00:00+00:00,,Stablecoins,
2020-11-30 00:00:00+00:00,,Real-World Assets,
2020-11-30 00:00:00+00:00,-674751582.2505765,DAI,-0.6465250076775326
2020-11-30 00:00:00+00:00,-4002777.9191502943,Equity,-0.0038353315397622262
2020-11-30 00:00:00+00:00,-364904545.88626593,DSR,-0.34963966078270436
2020-11-30 00:00:00+00:00,1043658906.0559936,Crypto-Loans,1.0
2020-12-01 00:00:00+00:00,,Stablecoins,
2020-12-01 00:00:00+00:00,,Others assets,
2020-12-01 00:00:00+00:00,,Real-World Assets,
2020-12-01 00:00:00+00:00,1053314136.4317071,Crypto-Loans,1.0
2020-12-01 00:00:00+00:00,-4003427.928594374,Equity,-0.003800791986098955
2020-12-01 00:00:00+00:00,-697423641.603161,DAI,-0.6621231192869111
2020-12-01 00:00:00+00:00,-351887066.899951,DSR,-0.3340760887269892
2020-12-02 00:00:00+00:00,-753251516.1399977,DAI,-0.7051079421081192
2020-12-02 00:00:00+00:00,,Stablecoins,
2020-12-02 00:00:00+00:00,,Real-World Assets,
2020-12-02 00:00:00+00:00,,Others assets,
2020-12-02 00:00:00+00:00,-311026641.61649203,DSR,-0.2911475788788777
2020-12-02 00:00:00+00:00,1068278303.4437815,Crypto-Loans,1.0
2020-12-02 00:00:00+00:00,-4000145.6872909735,Equity,-0.003744479013002329
2020-12-03 00:00:00+00:00,,Real-World Assets,
2020-12-03 00:00:00+00:00,-322018706.9432072,DSR,-0.3000694155555294
2020-12-03 00:00:00+00:00,,Stablecoins,
2020-12-03 00:00:00+00:00,1073147379.4056695,Crypto-Loans,1.0
2020-12-03 00:00:00+00:00,-747128060.6692808,DAI,-0.6962026605171932
2020-12-03 00:00:00+00:00,-4000611.7931806534,Equity,-0.003727923927276673
2020-12-03 00:00:00+00:00,,Others assets,
2020-12-04 00:00:00+00:00,,Real-World Assets,
2020-12-04 00:00:00+00:00,,Stablecoins,
2020-12-04 00:00:00+00:00,-754094646.5117233,DAI,-0.7078089246558903
2020-12-04 00:00:00+00:00,-4003504.6394148283,Equity,-0.0037577727501278903
2020-12-04 00:00:00+00:00,1065392961.6362711,Crypto-Loans,1.0
2020-12-04 00:00:00+00:00,,Others assets,
2020-12-04 00:00:00+00:00,-307294810.48513216,DSR,-0.288433302593981
2020-12-05 00:00:00+00:00,,Stablecoins,
2020-12-05 00:00:00+00:00,-755649352.7312219,DAI,-0.709584558373415
2020-12-05 00:00:00+00:00,,Others assets,
2020-12-05 00:00:00+00:00,,Real-World Assets,
2020-12-05 00:00:00+00:00,-4002217.4470460224,Equity,-0.0037582401009303335
2020-12-05 00:00:00+00:00,-305266407.26955146,DSR,-0.2866572015256538
2020-12-05 00:00:00+00:00,1064917977.4478202,Crypto-Loans,1.0
2020-12-06 00:00:00+00:00,,Real-World Assets,
2020-12-06 00:00:00+00:00,-312539402.1135729,DSR,-0.29219335706290855
2020-12-06 00:00:00+00:00,-753089824.8204331,DAI,-0.7040643278770894
2020-12-06 00:00:00+00:00,,Others assets,
2020-12-06 00:00:00+00:00,,Stablecoins,
2020-12-06 00:00:00+00:00,1069632127.3528607,Crypto-Loans,1.0
2020-12-06 00:00:00+00:00,-4002900.418853734,Equity,-0.003742315060001202
2020-12-07 00:00:00+00:00,-315828264.2382136,DSR,-0.2966636720182532
2020-12-07 00:00:00+00:00,,Stablecoins,
2020-12-07 00:00:00+00:00,,Real-World Assets,
2020-12-07 00:00:00+00:00,-4003156.2860227968,Equity,-0.0037602430749476387
2020-12-07 00:00:00+00:00,,Others assets,
2020-12-07 00:00:00+00:00,-744768980.6289622,DAI,-0.6995760849067982
2020-12-07 00:00:00+00:00,1064600401.1531996,Crypto-Loans,1.0
2020-12-08 00:00:00+00:00,-743276522.426368,DAI,-0.6949236855663686
2020-12-08 00:00:00+00:00,-4000206.7690675464,Equity,-0.003739978792702062
2020-12-08 00:00:00+00:00,-322303338.17640936,DSR,-0.30133633564092843
2020-12-08 00:00:00+00:00,,Others assets,
2020-12-08 00:00:00+00:00,1069580067.3718458,Crypto-Loans,1.0
2020-12-08 00:00:00+00:00,,Real-World Assets,
2020-12-08 00:00:00+00:00,,Stablecoins,
2020-12-09 00:00:00+00:00,-4013462.6194667723,Equity,-0.0037272810462512067
2020-12-09 00:00:00+00:00,,Stablecoins,
2020-12-09 00:00:00+00:00,-748232643.9648813,DAI,-0.6948796130577288
2020-12-09 00:00:00+00:00,1076780250.7147667,Crypto-Loans,1.0
2020-12-09 00:00:00+00:00,,Others assets,
2020-12-09 00:00:00+00:00,,Real-World Assets,
2020-12-09 00:00:00+00:00,-324534144.1304177,DSR,-0.30139310589601914
2020-12-10 00:00:00+00:00,-319281479.9532691,DSR,-0.2970419826761554
2020-12-10 00:00:00+00:00,-4000428.887688111,Equity,-0.003721779692726824
2020-12-10 00:00:00+00:00,,Real-World Assets,
2020-12-10 00:00:00+00:00,1074869878.9199772,Crypto-Loans,1.0
2020-12-10 00:00:00+00:00,-751587970.079019,DAI,-0.6992362376311169
2020-12-10 00:00:00+00:00,,Others assets,
2020-12-10 00:00:00+00:00,,Stablecoins,
2020-12-11 00:00:00+00:00,,Real-World Assets,
2020-12-11 00:00:00+00:00,-755538966.7881821,DAI,-0.7136003013336143
2020-12-11 00:00:00+00:00,,Others assets,
2020-12-11 00:00:00+00:00,-4001479.8132788106,Equity,-0.0037793645676208664
2020-12-11 00:00:00+00:00,,Stablecoins,
2020-12-11 00:00:00+00:00,-299230079.94707024,DSR,-0.2826203340987638
2020-12-11 00:00:00+00:00,1058770526.5485322,Crypto-Loans,1.0
2020-12-12 00:00:00+00:00,-4001412.541503511,Equity,-0.003667693191275046
2020-12-12 00:00:00+00:00,,Stablecoins,
2020-12-12 00:00:00+00:00,,Real-World Assets,
2020-12-12 00:00:00+00:00,1090988894.878759,Crypto-Loans,1.0
2020-12-12 00:00:00+00:00,-780124947.1028842,DAI,-0.7150622254405066
2020-12-12 00:00:00+00:00,,Others assets,
2020-12-12 00:00:00+00:00,-306862535.2343701,DSR,-0.2812700813682174
2020-12-13 00:00:00+00:00,-4003099.557174729,Equity,-0.0036780731404912736
2020-12-13 00:00:00+00:00,,Real-World Assets,
2020-12-13 00:00:00+00:00,-795906959.9440726,DAI,-0.7312843385205322
2020-12-13 00:00:00+00:00,1088368665.9477475,Crypto-Loans,1.0
2020-12-13 00:00:00+00:00,,Stablecoins,
2020-12-13 00:00:00+00:00,-288458606.44649905,DSR,-0.2650375883389755
2020-12-13 00:00:00+00:00,,Others assets,
2020-12-14 00:00:00+00:00,,Others assets,
2020-12-14 00:00:00+00:00,,Stablecoins,
2020-12-14 00:00:00+00:00,,Real-World Assets,
2020-12-14 00:00:00+00:00,-799374311.2958734,DAI,-0.7338749691133197
2020-12-14 00:00:00+00:00,-285877041.4709616,DSR,-0.2624527733942357
2020-12-14 00:00:00+00:00,1089251364.2503588,Crypto-Loans,1.0
2020-12-14 00:00:00+00:00,-4000011.4835227598,Equity,-0.0036722574924435694
2020-12-15 00:00:00+00:00,,Stablecoins,
2020-12-15 00:00:00+00:00,1092344738.5993762,Crypto-Loans,1.0
2020-12-15 00:00:00+00:00,,Others assets,
2020-12-15 00:00:00+00:00,-805731474.5874119,DAI,-0.7376164741000493
2020-12-15 00:00:00+00:00,,Real-World Assets,
2020-12-15 00:00:00+00:00,-4000021.3387437994,Equity,-0.003661867171963219
2020-12-15 00:00:00+00:00,-282613242.6732195,DSR,-0.2587216587279866
2020-12-16 00:00:00+00:00,,Stablecoins,
2020-12-16 00:00:00+00:00,-281396280.4909717,DSR,-0.2530599444252124
2020-12-16 00:00:00+00:00,-826577802.0960982,DAI,-0.7433422087050789
2020-12-16 00:00:00+00:00,,Others assets,
2020-12-16 00:00:00+00:00,1111974797.6319249,Crypto-Loans,1.0
2020-12-16 00:00:00+00:00,,Real-World Assets,
2020-12-16 00:00:00+00:00,-4000715.0448539923,Equity,-0.0035978468697078062
2020-12-17 00:00:00+00:00,-855858672.3885752,DAI,-0.7608403026159283
2020-12-17 00:00:00+00:00,-265024609.03715545,DSR,-0.23560128587322257
2020-12-17 00:00:00+00:00,,Others assets,
2020-12-17 00:00:00+00:00,,Real-World Assets,
2020-12-17 00:00:00+00:00,,Stablecoins,
2020-12-17 00:00:00+00:00,1124886089.033341,Crypto-Loans,1.0
2020-12-17 00:00:00+00:00,-4002807.60760915,Equity,-0.0035584115108481078
2020-12-18 00:00:00+00:00,-856799362.5852209,DAI,-0.7642731558828141
2020-12-18 00:00:00+00:00,-4005974.889720585,Equity,-0.003573367587618314
2020-12-18 00:00:00+00:00,,Real-World Assets,
2020-12-18 00:00:00+00:00,-260258978.32655826,DSR,-0.23215347652956647
2020-12-18 00:00:00+00:00,,Stablecoins,
2020-12-18 00:00:00+00:00,1121064315.801501,Crypto-Loans,1.0
2020-12-18 00:00:00+00:00,,Others assets,
2020-12-19 00:00:00+00:00,,Stablecoins,
2020-12-19 00:00:00+00:00,-856676960.195835,DAI,-0.757522827852348
2020-12-19 00:00:00+00:00,-270206257.2451408,DSR,-0.23893184666125122
2020-12-19 00:00:00+00:00,-4009382.3564425744,Equity,-0.0035453254863996703
2020-12-19 00:00:00+00:00,1130892599.7974195,Crypto-Loans,1.0
2020-12-19 00:00:00+00:00,,Others assets,
2020-12-19 00:00:00+00:00,,Real-World Assets,
2020-12-20 00:00:00+00:00,,Others assets,
2020-12-20 00:00:00+00:00,-245974676.0336401,DSR,-0.2188768002915115
2020-12-20 00:00:00+00:00,,Real-World Assets,
2020-12-20 00:00:00+00:00,,Stablecoins,
2020-12-20 00:00:00+00:00,-873827442.1877074,DAI,-0.7775619736025341
2020-12-20 00:00:00+00:00,-4002120.9946770333,Equity,-0.003561226105953242
2020-12-20 00:00:00+00:00,1123804239.2160258,Crypto-Loans,1.0
2020-12-21 00:00:00+00:00,,Others assets,
2020-12-21 00:00:00+00:00,1122300794.4513874,Crypto-Loans,1.0
2020-12-21 00:00:00+00:00,-866014427.97261,DAI,-0.7716419985213879
2020-12-21 00:00:00+00:00,-4006298.010312296,Equity,-0.003569718590701603
2020-12-21 00:00:00+00:00,,Real-World Assets,
2020-12-21 00:00:00+00:00,-252280068.4684638,DSR,-0.22478828288790928
2020-12-21 00:00:00+00:00,,Stablecoins,
2020-12-22 00:00:00+00:00,1113197072.5628796,Crypto-Loans,1.0
2020-12-22 00:00:00+00:00,-856127965.3563485,DAI,-0.7690713409668886
2020-12-22 00:00:00+00:00,,Others assets,
2020-12-22 00:00:00+00:00,-4009342.874257129,Equity,-0.0036016469797450525
2020-12-22 00:00:00+00:00,-253059764.3322727,DSR,-0.2273270120533653
2020-12-22 00:00:00+00:00,,Real-World Assets,
2020-12-22 00:00:00+00:00,,Stablecoins,
2020-12-23 00:00:00+00:00,,Others assets,
2020-12-23 00:00:00+00:00,-862715751.0170089,DAI,-0.7738121621891819
2020-12-23 00:00:00+00:00,-4003229.3492650306,Equity,-0.0035906931742491063
2020-12-23 00:00:00+00:00,1114890399.9858453,Crypto-Loans,1.0
2020-12-23 00:00:00+00:00,,Real-World Assets,
2020-12-23 00:00:00+00:00,,Stablecoins,
2020-12-23 00:00:00+00:00,-248171419.61957026,DSR,-0.2225971446365679
2020-12-24 00:00:00+00:00,,Real-World Assets,
2020-12-24 00:00:00+00:00,1112592229.9917436,Crypto-Loans,1.0
2020-12-24 00:00:00+00:00,-4003055.0172838853,Equity,-0.0035979534184897117
2020-12-24 00:00:00+00:00,-228703161.0708762,DSR,-0.2055588336012138
2020-12-24 00:00:00+00:00,-879886013.9035823,DAI,-0.7908432129802955
2020-12-24 00:00:00+00:00,,Stablecoins,
2020-12-24 00:00:00+00:00,,Others assets,
2020-12-25 00:00:00+00:00,,Stablecoins,
2020-12-25 00:00:00+00:00,-4002865.641616599,Equity,-0.0035973650974341605
2020-12-25 00:00:00+00:00,,Others assets,
2020-12-25 00:00:00+00:00,-240805575.42939386,DSR,-0.2164113537339215
2020-12-25 00:00:00+00:00,-867913101.8359523,DAI,-0.7799912811686434
2020-12-25 00:00:00+00:00,1112721542.9069638,Crypto-Loans,1.0
2020-12-25 00:00:00+00:00,,Real-World Assets,
2020-12-26 00:00:00+00:00,1120023717.4309595,Crypto-Loans,1.0
