,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
48,2024-03-12 00:00:00+00:00,1-week,572157605.3408849,572157605.3408849,0.0,4571236970.391721
49,2024-03-12 00:00:00+00:00,1-year,2791170515.167302,2723189718.967486,67980796.19981596,4571236970.391721
50,2024-03-12 00:00:00+00:00,1-block,441329938.06448084,441329938.06448084,0.0,4571236970.391721
51,2024-03-12 00:00:00+00:00,1-month,131391969.52999267,131391969.52999267,0.0,4571236970.391721
52,2024-03-12 00:00:00+00:00,3-months,193857004.22457933,193857004.22457933,0.0,4571236970.391721
53,2024-03-12 00:00:00+00:00,1-day,441329938.06448084,441329938.06448084,0.0,4571236970.391721
54,2024-03-11 00:00:00+00:00,1-week,570054568.4577371,570054568.4577371,0.0,4575492723.608494
55,2024-03-11 00:00:00+00:00,1-day,441164637.1197603,441164637.1197603,0.0,4575492723.608494
56,2024-03-11 00:00:00+00:00,1-year,2799503217.4496636,2731678643.5319576,67824573.91770612,4575492723.608494
57,2024-03-11 00:00:00+00:00,1-month,130728115.70301929,130728115.70301929,0.0,4575492723.608494
58,2024-03-11 00:00:00+00:00,3-months,192877547.75855306,192877547.75855306,0.0,4575492723.608494
59,2024-03-11 00:00:00+00:00,1-block,441164637.1197603,441164637.1197603,0.0,4575492723.608494
60,2024-03-10 00:00:00+00:00,3-months,193853641.8243812,193853641.8243812,0.0,4578331241.3612175
61,2024-03-10 00:00:00+00:00,1-week,572374768.5005643,572374768.5005643,0.0,4578331241.3612175
62,2024-03-10 00:00:00+00:00,1-block,441917408.0895497,441917408.0895497,0.0,4578331241.3612175
63,2024-03-10 00:00:00+00:00,1-year,2796878324.287315,2729555738.5018187,67322585.78549588,4578331241.3612175
64,2024-03-10 00:00:00+00:00,1-month,131389690.56985837,131389690.56985837,0.0,4578331241.3612175
65,2024-03-10 00:00:00+00:00,1-day,441917408.0895497,441917408.0895497,0.0,4578331241.3612175
66,2024-03-09 00:00:00+00:00,1-day,422530099.09846795,422530099.09846795,0.0,4405202320.682505
67,2024-03-09 00:00:00+00:00,1-year,2715620830.6683974,2648056946.1675534,67563884.50084415,4405202320.682505
68,2024-03-09 00:00:00+00:00,1-month,123153135.9753992,123153135.9753992,0.0,4405202320.682505
69,2024-03-09 00:00:00+00:00,3-months,181701348.16042504,181701348.16042504,0.0,4405202320.682505
70,2024-03-09 00:00:00+00:00,1-block,422530099.09846795,422530099.09846795,0.0,4405202320.682505
71,2024-03-09 00:00:00+00:00,1-week,539666807.6813475,539666807.6813475,0.0,4405202320.682505
72,2024-03-08 00:00:00+00:00,1-block,422553234.56055975,422553234.56055975,0.0,4404464306.6449585
73,2024-03-08 00:00:00+00:00,1-year,2714057306.591399,2646158083.5584106,67899223.0329888,4404464306.6449585
74,2024-03-08 00:00:00+00:00,1-day,422553234.56055975,422553234.56055975,0.0,4404464306.6449585
75,2024-03-08 00:00:00+00:00,1-week,540102323.9951879,540102323.9951879,0.0,4404464306.6449585
