DATE,QBPQYTNIYVENTKREV
2019-07-01,29.818
2019-10-01,42.445
2020-01-01,-24.894
2020-04-01,45.203
2020-07-01,68.878
2020-10-01,85.263
2021-01-01,25.512
2021-04-01,119.84
2021-07-01,22.004
2021-10-01,62.82
2022-01-01,13.585
2022-04-01,21.104
2022-07-01,21.042
2022-10-01,32.242
2023-01-01,4.647
2023-04-01,22.256
2023-07-01,14.066
2023-10-01,-10.109
