period,collateral,daily_revenues
2024-03-13,ETH-B,53067.311816781075
2024-03-13,ETH-C,182943.59833960916
2024-03-13,RWA014-A,0.0
2024-03-13,WBTC-A,53616.78284572936
2024-03-13,WBTC-B,24010.39567736809
2024-03-13,WBTC-C,30594.469404261978
2024-03-13,WSTETH-A,204411.55155164248
2024-03-13,WSTETH-B,37455.79265311107
2024-03-12,DIRECT-SPARK-DAI,0.0
2024-03-12,ETH-A,121167.03191912615
2024-03-12,ETH-B,54665.530682423465
2024-03-12,ETH-C,9696.406106187225
2024-03-12,RWA015-A,0.0
2024-03-12,WBTC-A,65816.96343938229
2024-03-12,WBTC-B,19206.46746693677
2024-03-12,WBTC-C,24811.688044897477
2024-03-12,WSTETH-A,185452.26299999756
2024-03-12,WSTETH-B,40853.582550747975
2024-03-11,DIRECT-SPARK-DAI,0.0
2024-03-11,ETH-A,107694.41523713965
2024-03-11,ETH-B,53617.244444749085
2024-03-11,ETH-C,135503.58239857404
2024-03-11,RWA012-A,255433.37658551297
2024-03-11,WBTC-A,68467.41792408447
2024-03-11,WBTC-B,25413.31352054099
2024-03-11,WBTC-C,17621.06275163582
2024-03-11,WSTETH-A,247350.58571404664
2024-03-11,WSTETH-B,34756.20992713196
2024-03-10,ETH-A,73089.982175197
2024-03-10,ETH-B,33105.83320703113
2024-03-10,ETH-C,54328.04380855203
2024-03-10,WBTC-A,31571.05973327505
2024-03-10,WBTC-B,10379.831569237835
2024-03-10,WBTC-C,13891.210874013923
2024-03-10,WSTETH-A,95407.1706359864
2024-03-10,WSTETH-B,22456.4090938387
2024-03-09,ETH-A,66735.97474429243
2024-03-09,ETH-B,22528.762993660504
2024-03-09,ETH-C,46456.21337414124
2024-03-09,RWA002-A,1895.7349773852004
2024-03-09,WBTC-A,20926.20523823696
2024-03-09,WBTC-B,8477.840067552348
2024-03-09,WBTC-C,12804.634568000445
2024-03-09,WSTETH-A,74708.98882330375
2024-03-09,WSTETH-B,12031.404691734015
2024-03-08,DIRECT-SPARK-DAI,0.0
2024-03-08,ETH-A,46675.83278352406
2024-03-08,ETH-B,24144.244556611025
2024-03-08,ETH-C,50433.706432195926
2024-03-08,RWA002-A,10262.801607522517
2024-03-08,RWA007-A,0.0
2024-03-08,RWA015-A,0.0
2024-03-08,WBTC-A,26124.472484699763
2024-03-08,WBTC-B,13894.176434559287
2024-03-08,WBTC-C,19937.202475403938
2024-03-08,WSTETH-A,105980.84400020377
2024-03-08,WSTETH-B,29723.156379668377
2024-03-07,DIRECT-SPARK-DAI,0.0
2024-03-07,ETH-A,62265.216789069644
2024-03-07,ETH-B,33757.57146867907
2024-03-07,ETH-C,51544.37893209715
2024-03-07,RWA007-A,0.0
2024-03-07,RWA014-A,0.0
2024-03-07,RWA015-A,0.0
2024-03-07,WBTC-A,29595.140382184083
2024-03-07,WBTC-B,8297.976259255107
2024-03-07,WBTC-C,6862.111617107137
2024-03-07,WSTETH-A,81069.79450308916
