snapped_at,market_cap,total_volume
1381449600000,1677062166.0,0.0
1381536000000,1738192797.0,0.0
1381622400000,1741018162.0,0.0
1381708800000,1798206169.0,0.0
1381795200000,1832013268.0,0.0
1381881600000,1820343308.0,0.0
1381968000000,1853446060.0,0.0
1382054400000,1916549962.0,0.0
1382140800000,2141663679.0,0.0
1382227200000,2161055256.0,0.0
1382313600000,2265792192.0,0.0
1382400000000,2406961759.0,0.0
1382486400000,2575048013.0,0.0
1382572800000,2500398942.0,0.0
1382659200000,2183845288.0,0.0
1382745600000,2247041816.0,0.0
1382832000000,2381811170.0,0.0
1382918400000,2482498288.0,0.0
1383004800000,2551676592.0,0.0
1383091200000,2550044408.0,0.0
1383177600000,2549295491.0,0.0
1383264000000,2570680763.0,0.0
1383350400000,2597092827.0,0.0
1383436800000,2682104328.0,0.0
1383523200000,2852322733.0,0.0
1383609600000,2902990572.0,0.0
1383696000000,3274691435.0,0.0
1383782400000,3732196390.0,0.0
1383868800000,4187843917.0,0.0
1383955200000,4480692904.0,0.0
1384041600000,3862320493.0,0.0
1384128000000,4263303391.0,0.0
1384214400000,4450833587.0,0.0
1384300800000,5053274589.0,0.0
1384387200000,5108638017.0,0.0
1384473600000,5292963981.0,0.0
1384560000000,5459243350.0,0.0
1384646400000,6075555418.0,0.0
1384732800000,7223144025.0,0.0
1384819200000,7668594980.0,0.0
1384905600000,7052490930.0,0.0
1384992000000,8377345407.0,0.0
1385078400000,9152445458.0,0.0
1385164800000,10241144817.0,0.0
1385251200000,9532336608.0,0.0
1385337600000,10006801131.0,0.0
1385424000000,10712575370.0,0.0
1385510400000,12017982103.0,0.0
1385596800000,13213611317.0,0.0
1385683200000,14691148402.0,0.0
1385769600000,15218504256.0,0.0
1385856000000,14043078160.0,0.0
1385942400000,13358177285.0,0.0
1386028800000,14601103161.0,0.0
1386115200000,15365802048.0,0.0
1386201600000,13664150027.0,0.0
1386288000000,13779408345.0,0.0
1386374400000,10916424827.0,0.0
1386460800000,10092380841.0,0.0
1386547200000,12259463075.0,0.0
1386633600000,12786599317.0,0.0
1386720000000,12122644425.0,0.0
1386806400000,12006644079.0,0.0
1386892800000,12250473505.0,0.0
1386979200000,11801562699.0,0.0
1387065600000,11658580515.0,0.0
1387152000000,10680949566.0,0.0
1387238400000,9337605511.0,0.0
1387324800000,7473860999.0,0.0
1387411200000,9052722687.0,0.0
1387497600000,9312426266.0,0.0
1387584000000,8059160000.0,0.0
1387670400000,8740435654.0,0.0
1387756800000,8677507546.0,0.0
1387843200000,8960018372.0,0.0
1387929600000,9170863513.0,0.0
1388016000000,10129867602.0,0.0
1388102400000,10178415561.0,99005513.0
1388188800000,10036644893.0,46698378.0
1388275200000,10087263184.0,37058017.0
1388361600000,10570031868.0,45234044.0
1388448000000,10444532541.0,33782640.0
1388534400000,10634031218.0,36849601.0
1388620800000,10773987789.0,49405750.0
1388707200000,11433894537.0,120279140.0
1388793600000,11687774519.0,62747437.0
1388880000000,12583584779.0,99074061.0
1388966400000,12913129060.0,168280632.0
1389052800000,11445983745.0,128073005.0
1389139200000,11486224357.0,150725301.0
1389225600000,11670631010.0,85775252.0
1389312000000,11779888589.0,43752075.0
1389398400000,12409271940.0,80699112.0
1389484800000,11899333160.0,66530069.0
1389571200000,11504679487.0,61261751.0
1389657600000,11445933777.0,41676635.0
1389744000000,11789924868.0,43488245.0
1389830400000,11508991483.0,29125277.0
1389916800000,11140911084.0,52452597.0
1390003200000,11516940386.0,29050610.0
1390089600000,11534051519.0,30585580.0
1390176000000,11987167652.0,39699125.0
1390262400000,11900548574.0,50595053.0
1390348800000,11940952621.0,36940956.0
1390435200000,11656785130.0,38502991.0
1390521600000,11084553144.0,58565283.0
1390608000000,11096066542.0,51138176.0
1390694400000,11766588527.0,45694597.0
1390780800000,12218620532.0,55356700.0
1390867200000,10744450648.0,93735288.0
1390953600000,11259294763.0,46184057.0
1391040000000,11234509580.0,28374993.0
1391126400000,11276779717.0,43551651.0
1391212800000,11517083071.0,25859602.0
1391299200000,11562382385.0,29032961.0
1391385600000,11242788741.0,21437686.0
1391472000000,11475058601.0,25954393.0
1391558400000,11429789002.0,28807023.0
1391644800000,11054383352.0,61936090.0
1391731200000,9964516310.0,89089631.0
1391817600000,9697594805.0,99669198.0
1391904000000,9325513526.0,46788351.0
1391990400000,9500229662.0,74671226.0
1392076800000,9671475906.0,147502980.0
1392163200000,9119852706.0,93945953.0
1392249600000,9047292692.0,37600706.0
1392336000000,8690618503.0,138690400.0
1392422400000,8975073790.0,83457395.0
1392508800000,8575732555.0,38499090.0
1392595200000,8971842045.0,65416818.0
1392681600000,8705687784.0,33724928.0
1392768000000,8677119187.0,24048912.0
1392854400000,8284098931.0,55822920.0
1392940800000,8089411907.0,76754444.0
1393027200000,7961923474.0,31589809.0
1393113600000,8699175865.0,64788486.0
1393200000000,8017602449.0,63091885.0
1393286400000,6876547488.0,146479584.0
1393372800000,7927619008.0,97417925.0
1393459200000,8194961506.0,50231514.0
1393545600000,8035162200.0,36836489.0
1393632000000,8027292634.0,31980116.0
1393718400000,8003876579.0,19955646.0
1393804800000,8513293207.0,55675156.0
1393891200000,10373689032.0,149796382.0
1393977600000,9590231545.0,50751833.0
1394064000000,9302561599.0,30273211.0
1394150400000,8815891807.0,40555090.0
1394236800000,8692800322.0,31904028.0
1394323200000,9082414178.0,27205101.0
1394409600000,8949283593.0,25671089.0
1394496000000,8973260983.0,20565979.0
1394582400000,9175730681.0,38858273.0
1394668800000,9170055466.0,24365721.0
1394755200000,8999518819.0,20299133.0
1394841600000,9098742277.0,12188903.0
1394928000000,8932663705.0,14085849.0
1395014400000,8782446650.0,23697859.0
1395100800000,8702593689.0,54125792.0
1395187200000,8692840446.0,56108984.0
1395273600000,8408969881.0,41529934.0
1395360000000,8273676445.0,62775200.0
1395446400000,8000260035.0,29727069.0
1395532800000,8070660251.0,16774458.0
1395619200000,8123975002.0,29917701.0
1395705600000,8262364453.0,30063061.0
1395792000000,8224443981.0,27801227.0
1395878400000,7949302653.0,41178561.0
1395964800000,7069668867.0,117346240.0
1396051200000,8029222085.0,36745883.0
1396137600000,7157524140.0,28978339.0
1396224000000,7080284651.0,70710965.0
1396310400000,7352351086.0,46001140.0
1396396800000,6697640702.0,68546752.0
1396483200000,6739046457.0,54953461.0
1396569600000,7041795885.0,31241914.0
1396656000000,7245679062.0,18437501.0
1396742400000,7106781660.0,17286923.0
1396828800000,7088811866.0,15758240.0
1396915200000,7173916407.0,16344778.0
1397001600000,6871913774.0,17725407.0
1397088000000,5681788168.0,73959358.0
1397174400000,6405850495.0,84337203.0
1397260800000,6436565342.0,29032695.0
1397347200000,6350505288.0,32213020.0
1397433600000,7061290317.0,70192680.0
1397520000000,7834863917.0,82444131.0
1397606400000,7832442215.0,91311033.0
1397692800000,7604960825.0,54491944.0
1397779200000,7284947427.0,34964085.0
1397865600000,7553525944.0,34024162.0
1397952000000,7480384324.0,24082669.0
1398038400000,7632867030.0,25364130.0
1398124800000,7474331668.0,49110200.312959276
1398211200000,7443201920.0,44560695.369230516
1398297600000,7643233743.0,81565631.28584892
1398384000000,7009651106.0,203641673.0476188
1398470400000,6836938651.0,73650309.07239418
1398556800000,6478523362.0,44978184.716696605
1398643200000,6667746887.0,80282755.8514731
1398729600000,6245216902.0,76209052.63505183
1398816000000,6704999838.0,135034308.18814945
1398902400000,6894980058.0,63412896.829865195
1398988800000,6702197066.0,48587519.45371707
1399075200000,6570686512.0,44463720.612647705
1399161600000,6521911272.0,29730228.297371034
1399248000000,6529192595.0,27203476.810727317
1399334400000,6404403859.0,69244395.89233688
1399420800000,6473901794.0,61695586.88442947
1399507200000,6665985831.0,52240462.10756212
1399593600000,6747721647.0,57203210.00552939
1399680000000,6819357909.0,29812986.444304097
1399766400000,6563703902.0,39681460.03243031
1399852800000,6652298315.0,27718848.63066606
1399939200000,6644717618.0,18054500.538001064
1400025600000,6693269250.0,21730456.219988693
1400112000000,6707366535.0,26646482.238919158
1400198400000,6837268183.0,24248841.276696574
1400284800000,6861820562.0,11455996.605890641
1400371200000,6816206288.0,15015065.060810521
1400457600000,6804410661.0,19524323.953738097
1400544000000,7382844051.0,87054167.7611365
1400630400000,7434415327.0,40623107.118434116
1400716800000,7895312234.0,57170285.73535955
1400803200000,7866138956.0,104822939.3292464
1400889600000,7980309711.0,37070103.90192798
1400976000000,8674004138.0,104996307.35268678
1401062400000,8922331196.0,67710539.62738608
1401148800000,8642194091.0,68958856.36769505
1401235200000,8752574011.0,38858410.78346046
