DATE,QBPBSTLKTEQK
2019-07-01,2101381.395
2019-10-01,2113664.332
2020-01-01,2117886.524
2020-04-01,2149486.675
2020-07-01,2185727.184
2020-10-01,2226974.567
2021-01-01,2252941.162
2021-04-01,2308207.847
2021-07-01,2341917.223
2021-10-01,2359619.097
2022-01-01,2259912.084
2022-04-01,2220352.175
2022-07-01,2164539.623
2022-10-01,2206718.851
2023-01-01,2262343.501
2023-04-01,2252962.713
2023-07-01,2244954.655
2023-10-01,2297215.043
