DATE,RPMBSD
2019-11-01,21.7
2019-11-04,10.75
2019-11-05,12.2
2019-11-06,7.523
2019-11-07,13.85
2019-11-08,7.1
2019-11-11,.
2019-11-12,26.766
2019-11-13,9.25
2019-11-14,18.5
2019-11-15,6.3
2019-11-18,4.5
2019-11-19,14.4
2019-11-20,10.75
2019-11-21,19.4
2019-11-22,16.2
2019-11-25,18.75
2019-11-26,23.0
2019-11-27,34.2
2019-11-28,.
2019-11-29,26.4
2019-12-02,28.545
2019-12-03,19.3
2019-12-04,15.2
2019-12-05,27.75
2019-12-06,16.7
2019-12-09,23.245
2019-12-10,17.85
2019-12-11,16.65
2019-12-12,23.55
2019-12-13,20.85
2019-12-16,33.141
2019-12-17,22.25
2019-12-18,11.07
2019-12-19,24.8
2019-12-20,9.0
2019-12-23,23.75
2019-12-24,15.3
2019-12-25,.
2019-12-26,15.8
2019-12-27,10.8
2019-12-30,17.55
2019-12-31,8.35
2020-01-01,.
2020-01-02,23.3
2020-01-03,18.85
2020-01-06,31.995
2020-01-07,22.419
2020-01-08,16.069
2020-01-09,35.625
2020-01-10,17.875
2020-01-13,30.225
2020-01-14,24.5
2020-01-15,21.0
2020-01-16,35.6
2020-01-17,40.75
2020-01-20,.
2020-01-21,32.876
2020-01-22,16.876
2020-01-23,35.1
2020-01-24,26.8
2020-01-27,23.1
2020-01-28,18.6
2020-01-29,16.75
2020-01-30,39.4
2020-01-31,16.35
2020-02-03,21.55
2020-02-04,32.1
2020-02-05,23.2
2020-02-06,31.711
2020-02-07,24.4
2020-02-10,20.95
2020-02-11,25.6
2020-02-12,28.3
2020-02-13,39.139
2020-02-14,23.8
2020-02-17,.
2020-02-18,26.05
2020-02-19,23.4
2020-02-20,19.1
2020-02-21,9.65
2020-02-24,22.7
2020-02-25,27.956
2020-02-26,21.35
2020-02-27,17.65
2020-02-28,18.05
2020-03-02,25.0
2020-03-03,38.918
2020-03-04,19.223
2020-03-05,19.25
2020-03-06,24.35
2020-03-09,38.95
2020-03-10,28.15
2020-03-11,37.5
2020-03-12,29.7
2020-03-13,30.55
2020-03-16,60.25
2020-03-17,62.1
2020-03-18,4.15
2020-03-19,9.5
2020-03-20,35.75
2020-03-23,23.0
2020-03-24,26.65
2020-03-25,10.9
2020-03-26,0.35
2020-03-27,0.0
2020-03-30,3.35
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,2.75
2020-04-03,0.6
2020-04-06,3.1
2020-04-07,0.4
2020-04-08,0.35
2020-04-09,0.0
2020-04-10,.
2020-04-13,3.85
2020-04-14,8.8
2020-04-15,2.85
2020-04-16,17.85
2020-04-17,8.85
2020-04-20,4.35
2020-04-21,0.0
2020-04-22,0.3
2020-04-23,12.7
2020-04-24,5.0
2020-04-27,0.2
2020-04-28,0.0
2020-04-29,1.9
2020-04-30,9.75
2020-05-01,17.25
2020-05-04,13.7
2020-05-05,8.4
2020-05-06,14.3
2020-05-07,9.15
2020-05-08,16.1
2020-05-11,17.5
2020-05-12,16.95
2020-05-13,0.5
2020-05-14,2.0
2020-05-15,6.25
2020-05-18,0.0
2020-05-19,1.0
2020-05-20,6.0
2020-05-21,8.5
2020-05-22,22.2
