DATE,GDPC1MDLR
2019-09-18,1.9
2019-12-11,1.9
2020-06-10,1.8
2020-09-16,1.9
2020-12-16,1.8
2021-03-17,1.8
2021-06-16,1.8
2021-09-22,1.8
2021-12-15,1.8
2022-03-16,1.8
2022-06-15,1.8
2022-09-21,1.8
2022-12-14,1.8
2023-03-22,1.8
2023-06-14,1.8
2023-09-20,1.8
2023-12-13,1.8
2024-03-20,1.8
