DATE,QBPBSTLKTL
2019-07-01,16380533.269
2019-10-01,16532063.893
2020-01-01,18137301.401
2020-04-01,18989844.279
2020-07-01,19023629.056
2020-10-01,19641778.927
2021-01-01,20293962.77
2021-04-01,20466202.932
2021-07-01,20909997.348
2021-10-01,21360132.563
2022-01-01,21713371.398
2022-04-01,21497530.088
2022-07-01,21466172.528
2022-10-01,21391791.783
2023-01-01,21457216.757
2023-04-01,21212159.872
2023-07-01,21163960.487
2023-10-01,21371587.102
