DATE,QBPBSTAS
2019-07-01,18481914.694
2019-10-01,18645728.253
2020-01-01,20255187.954
2020-04-01,21139330.995
2020-07-01,21209356.274
2020-10-01,21868753.531
2021-01-01,22546903.899
2021-04-01,22774410.779
2021-07-01,23251914.571
2021-10-01,23719751.66
2022-01-01,23973283.482
2022-04-01,23717882.263
2022-07-01,23630712.151
2022-10-01,23598510.634
2023-01-01,23719560.258
2023-04-01,23465122.585
2023-07-01,23408915.142
2023-10-01,23668802.145
