day,BTC Vault_collateral_usd,ETH Vault_collateral_usd,stETH Vault_collateral_usd,Stablecoin Vault_collateral_usd,Altcoin Vault_collateral_usd,LP Vault_collateral_usd,RWA Vault_collateral_usd,PSM Vault_collateral_usd,BTC Vault_collateral_usd_Status,ETH Vault_collateral_usd_Status,stETH Vault_collateral_usd_Status,Stablecoin Vault_collateral_usd_Status,Altcoin Vault_collateral_usd_Status,LP Vault_collateral_usd_Status,RWA Vault_collateral_usd_Status,PSM Vault_collateral_usd_Status,Daily Portfolio Value
2020-05-20 00:00:00+00:00,10765301.760442771,409931911.1711286,0.0,12447674.002109993,2216643.520873221,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,435361530.4545546
2020-05-21 00:00:00+00:00,10278677.944770971,389296560.4056597,0.0,11906787.797079999,2138849.3575743367,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,413620875.505085
2020-05-22 00:00:00+00:00,24186519.143719297,406577555.2700109,0.0,11587481.677029997,2255603.439716985,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,444607159.5304772
2020-05-23 00:00:00+00:00,24329243.682280447,407484976.1182537,0.0,7713115.616286999,2243048.08709818,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,441770383.5039193
2020-05-24 00:00:00+00:00,23798860.4043297,405621598.44447756,0.0,7529915.616287,2174041.5226328615,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,439124415.9877271
2020-05-25 00:00:00+00:00,23423185.05373607,401331228.80696744,0.0,7529915.616287,2206248.4000173993,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,434490577.8770079
2020-05-26 00:00:00+00:00,23362837.300559446,392823766.5063394,0.0,7344715.371951,2197841.215763406,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,425729160.3946132
2020-05-27 00:00:00+00:00,23969533.96148749,402861365.42300975,0.0,6952564.137950999,2205291.41635243,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,435988754.9388007
2020-05-28 00:00:00+00:00,24937864.993851166,418440473.8862659,0.0,6479913.137950999,2272208.722527999,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,452130460.74059606
2020-05-29 00:00:00+00:00,24831311.14480802,432544010.9972486,0.0,5748284.834548999,2259242.208199485,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,465382849.1848051
